Age_band_of_driver,Vehicle_driver_relation,Driving_experience,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Age_band_of_casualty,Cause_of_accident,Accident_severity
18-30,Employee,1-2yr,Residential areas,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Overtaking,Pedestrian,Under 18,Changing lane to the left,Fatal injury
Unknown,Employee,5-10yr, Industrial areas,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Pedestrian,Over 51,Moving Backward,Slight Injury
Unknown,Employee,5-10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,1-2yr,Residential areas,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Under 18,Changing lane to the right,Slight Injury
18-30,Other,5-10yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,U-Turn,na,na,Moving Backward,Slight Injury
31-50,Employee,2-5yr,Office areas,Double carriageway (median),Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Going straight,Driver or rider,18-30,No distancing,Slight Injury
31-50,Employee,5-10yr,Office areas,other,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Going straight,na,na,Driving to the left,Slight Injury
31-50,Employee,Above 10yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Going straight,Driver or rider,18-30,Driving to the left,Slight Injury
31-50,Employee,Above 10yr,Office areas,One way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Collision with roadside objects,3,5,Going straight,na,na,Moving Backward,Slight Injury
31-50,Owner,2-5yr,Office areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Driver or rider,18-30,Moving Backward,Slight Injury
18-30,Employee,5-10yr,Office areas,other,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,31-50,Overtaking,Slight Injury
18-30,Owner,1-2yr,Residential areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Driving carelessly,Slight Injury
Over 51,Employee,Above 10yr,Residential areas,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,31-50,Changing lane to the left,Slight Injury
Unknown,Employee,5-10yr,Other,One way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,,2,1,Going straight,na,na,Driving under the influence of drugs,Slight Injury
18-30,Employee,2-5yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Moving Backward,Pedestrian,Under 18,No distancing,Slight Injury
Over 51,Employee,Above 10yr,  Recreational areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,18-30,Moving Backward,Slight Injury
Over 51,Employee,2-5yr, Industrial areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
31-50,Employee,Above 10yr,Residential areas,other,Other,Asphalt roads,Daylight,Unknown,Vehicle with vehicle collision,1,1,Going straight,na,na,Changing lane to the right,Slight Injury
Unknown,Employee,Above 10yr,Residential areas,other,Crossing,Asphalt roads,Daylight,Normal,Collision with pedestrians,3,1,Going straight,na,na,No distancing,Slight Injury
18-30,Employee,2-5yr,Office areas,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,3,1,U-Turn,Driver or rider,5,Driving at high speed,Slight Injury
18-30,Employee,Above 10yr,  Market areas,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,,3,1,Going straight,Passenger,31-50,Changing lane to the right,Slight Injury
Over 51,Employee,Above 10yr,Unknown,other,No junction,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,18-30,No priority to vehicle,Slight Injury
18-30,Employee,Below 1yr, Industrial areas,other,No junction,Asphalt roads,Daylight,Raining,,2,1,Going straight,Driver or rider,31-50,No distancing,Slight Injury
31-50,Owner,Above 10yr,Residential areas,Two-way (divided with solid lines road marking),No junction,Asphalt roads,Daylight,Normal,,1,1,Going straight,na,na,Turnover,Slight Injury
Over 51,Other,Above 10yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,,2,1,Going straight,na,na,No distancing,Serious Injury
Under 18,Employee,5-10yr,Other,Undivided Two way,Y Shape,Gravel roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Over 51,Changing lane to the right,Serious Injury
18-30,,,Residential areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Stopping,Pedestrian,Under 18,No distancing,Slight Injury
18-30,Employee,5-10yr,Rural village areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,3,1,Turnover,Driver or rider,31-50,Changing lane to the left,Slight Injury
Over 51,Employee,5-10yr,Rural village areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,3,1,Getting off,na,na,Driving carelessly,Slight Injury
Unknown,Owner,Below 1yr,Office areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,Driver or rider,18-30,Changing lane to the right,Slight Injury
Under 18,Employee,5-10yr,Residential areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,No priority to vehicle,Serious Injury
Under 18,Employee,2-5yr,Residential areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,18-30,No distancing,Serious Injury
18-30,Owner,2-5yr, Outside rural areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Turnover,Pedestrian,18-30,No priority to pedestrian,Serious Injury
31-50,Employee,2-5yr,Residential areas,other,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,31-50,No priority to pedestrian,Serious Injury
Over 51,Owner,2-5yr, Church areas,other,Y Shape,Asphalt roads,Daylight,Normal,Rollover,3,1,Going straight,na,na,No priority to vehicle,Slight Injury
31-50,Employee,Above 10yr,Office areas,Undivided Two way,Y Shape,Asphalt roads with some distress,Daylight,Normal,Vehicle with vehicle collision,3,1,U-Turn,Pedestrian,18-30,Changing lane to the left,Slight Injury
Unknown,Employee,2-5yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,3,1,Going straight,na,na,Changing lane to the left,Slight Injury
Under 18,Employee,1-2yr,Office areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Driver or rider,Under 18,No distancing,Slight Injury
18-30,Employee,2-5yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,3,U-Turn,na,na,No priority to vehicle,Slight Injury
18-30,Employee,1-2yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,3,Stopping,Driver or rider,18-30,No distancing,Slight Injury
Unknown,Employee,5-10yr,Residential areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,31-50,No distancing,Serious Injury
Unknown,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,18-30,Changing lane to the right,Serious Injury
31-50,Owner,2-5yr,Other,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,na,na,Changing lane to the left,Serious Injury
31-50,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,No distancing,Slight Injury
18-30,,,Other,Undivided Two way,Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Overturning,Slight Injury
31-50,Employee,Above 10yr,Other,Double carriageway (median),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Turnover,na,na,No priority to vehicle,Slight Injury
Unknown,Employee,1-2yr,Other,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Rollover,2,1,Moving Backward,Driver or rider,31-50,Moving Backward,Slight Injury
31-50,Owner,5-10yr, Church areas,Two-way (divided with broken lines road marking),Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Over 51,Driving under the influence of drugs,Slight Injury
31-50,Employee,1-2yr,Other,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,2,2,Moving Backward,Driver or rider,18-30,Moving Backward,Slight Injury
18-30,Employee,Above 10yr, Industrial areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Changing lane to the right,Slight Injury
18-30,Employee,Below 1yr,Residential areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,,Driver or rider,Under 18,Overspeed,Slight Injury
18-30,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Collision with pedestrians,2,1,Going straight,Pedestrian,18-30,Driving under the influence of drugs,Serious Injury
Under 18,Employee,5-10yr,Office areas,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Raining,Collision with pedestrians,2,1,,Driver or rider,18-30,Driving carelessly,Serious Injury
Over 51,Employee,5-10yr, Industrial areas,Unknown,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,na,na,No distancing,Slight Injury
31-50,Owner,1-2yr, Industrial areas,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,4,,Pedestrian,Under 18,No priority to vehicle,Slight Injury
18-30,Employee,5-10yr,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Driver or rider,Under 18,Overspeed,Slight Injury
18-30,Other,, Hospital areas,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,4,Going straight,Passenger,18-30,Driving under the influence of drugs,Slight Injury
18-30,Employee,2-5yr,Office areas,One way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
Over 51,Employee,1-2yr, Church areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,31-50,Changing lane to the right,Slight Injury
18-30,Employee,5-10yr, Hospital areas,Undivided Two way,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,Changing lane to the right,Slight Injury
Over 51,Employee,2-5yr,Office areas,other,Other,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,18-30,Changing lane to the right,Slight Injury
31-50,Employee,No Licence,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,18-30,Moving Backward,Slight Injury
18-30,Employee,Above 10yr,Office areas,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Over 51,No distancing,Slight Injury
31-50,Employee,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,18-30,Overspeed,Serious Injury
31-50,Employee,5-10yr,Other,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Getting off,na,na,No distancing,Serious Injury
Over 51,Employee,2-5yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,Driving carelessly,Serious Injury
31-50,Owner,2-5yr,Residential areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,18-30,No distancing,Slight Injury
18-30,Employee,Below 1yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,18-30,No distancing,Slight Injury
18-30,Owner,Above 10yr,Office areas,Double carriageway (median),No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,No distancing,Slight Injury
31-50,Employee,Above 10yr,Office areas,Undivided Two way,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Changing lane to the right,Slight Injury
18-30,Employee,2-5yr,Office areas,other,Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Getting off,Passenger,Over 51,No distancing,Slight Injury
18-30,Employee,2-5yr,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,18-30,No priority to vehicle,Slight Injury
31-50,Employee,Above 10yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,18-30,Changing lane to the left,Slight Injury
Over 51,Employee,5-10yr, Industrial areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,Moving Backward,Slight Injury
18-30,Employee,Below 1yr,Office areas,Double carriageway (median),Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,18-30,Driving carelessly,Slight Injury
18-30,Employee,Below 1yr, Church areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,Changing lane to the left,Slight Injury
31-50,Employee,Below 1yr,Office areas,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,18-30,No priority to pedestrian,Slight Injury
18-30,Employee,5-10yr,Office areas,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,No distancing,Slight Injury
31-50,Owner,5-10yr,Residential areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,5,No distancing,Slight Injury
31-50,Owner,5-10yr,Office areas,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Collision with pedestrians,1,1,Reversing,na,na,Overturning,Slight Injury
18-30,Employee,5-10yr,Residential areas,Undivided Two way,Other,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Other,Driver or rider,18-30,No distancing,Slight Injury
31-50,Employee,2-5yr,Office areas,Double carriageway (median),Other,Asphalt roads,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,31-50,Drunk driving,Slight Injury
